Bank description; Nợ ; Có ; Nature 
HDTG SO 612.2025.HDTG.TX_CK:(10,000,000,000.00);10.000.000.000,00; -   ;Internal transfer in
##GUI TIEN GUI CKH ST: 50.000.000.000##;50.000.000.000,00; -   ;Internal transfer in
Transfer to KBank Account - OPEN TD 1M;10.000.000.000,00; -   ;Internal transfer in
07003600017296;50.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 56 NGAY THEO HD SO 43.2025/HDTG-VCBHCM.KHFDI NGAY 31.10.2025 LAI SUAT 4.75% DAO HAN GOC KHONG XOAY VONG LAI TRA RA CO AP DUNG RUT GOC LINH HOAT;5.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 1 THANG THEO HD SO 42.2025/HDTG-VCBHCM.KHFDI NGAY 31.10.2025 LAI SUAT 4.75% GOC XOAY VONG LAI TRA RA AP DUNG RUT GOC LINH HOAT;15.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 1 THANG THEO HD SO 27.2025/HDTG-VCBHCM.KHFDI LAI SUAT 4.5% DAO HAN GOC XOAY VONG LAI TRA RA CO AP DUNG RUT GOC LINH HOAT;5.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 1 THANG THEO HD SO 26.2025/HDTG-VCBHCM.KHFDI NGAY 23/10/2025 LAI SUAT 4.5% GOC XOAY VONG LAI TRA RA AP DUNG RUT GOC LINH HOAT;20.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 33 NGAY THEO HD 37.2025/HDTG-VCBHCM.KHFDI NGAY 29/10/2025 LAI SUAT 4.75% DAO HAN GOC KHONG XOAY VONG LAI TRA RA CO AP DUNG RUT GOC LINH HOAT;950.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMETHUC HIEN HDTG RGLH SO HDTG/RGLH/VCBBD-TT3B-27.10.2025 KY NGAY 27.10.2025, KY HAN 98 NGAY, LS 4.5%/NAM, NGAY 02.02.2026 TAT TOAN GOC LAI VE TK 3243126666;4.500.000.000,00; -   ;Internal transfer in
"CONG TY CP SAO HOA TOAN
QUOC GUI TIEN NGAY
27/10/2025";50.000.000.000,00; -   ;Internal transfer in
07003600016505; -   ;20.000.000.000,00;Internal transfer out
07003600017007; -   ;50.000.000.000,00;Internal transfer out
CA - TARGET; -   ;950.000.000.000,00;Internal transfer out
REM 9901CI251016000047559 B/O CTY TNHH CONG NGHE ALLTOP (VIETNAM) F/O-22210001133456 BWID HD 03 DTLS-REF/202510162010011000006401642001 Factory rent Bank Charge .00 VAT .00;1.415.847.057,00; -   ;Receipt from tenants
REM 9901CI251016000064534 B/O TREASURE GRAND TECHNOLOGY LIMITED F/O-2221133456 BWID HD 03 DTLS-REF/202510162010011000061979629001 TREASURE TT TIEN THUE XUONG Q4 202 5 Bank Charge .00 VAT .00;1.614.799.536,00; -   ;Receipt from tenants
REM 9901CI251017000022189 B/O CONG TY TNHH LINKCONN ELECTRONICS VIET N F/O-2221133456 BWID HD 03 DTLS-REF/202510172010011000366801203005 LINKCONN ELECTRONICS VIETNAM CO., LTD-TT PHI THUE NHA XUONG Q4.2025 Bank Charge .00 VAT .00;2.984.602.752,00; -   ;Receipt from tenants
REF222A25A0XRVE51A7 B/O 2221133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG F/O 2309205500397 PHAM DANG LINH NHH01204001 HD3_PHAM DANG LINH_Payment of meeting expenses _INVOICE 5225,5713; -   ;2.160.000,00;Operating expense
REF222A25A0XRVEBRUX B/O 2221133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG F/O 0071005396210 CONG TY BAO HIEM PVI PHIA NAM NHH01203001 HD3_PVI_1st payment for PAR,B,PLI Insurance Purchasing from 01102025 to 30092026_INVOICE 00000278; -   ;174.459.066,00;Operating expense
REF222A25A0XRVELJTM B/O 2221133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG F/O 0341000657762 CONG TY TNHH XAY DUNG VA PHAT TRIEN KIM SON NHH01203001 HD3_Kim Son_Refund Fit-out Deposit to contractor of DRAGON tenant; -   ;150.000.000,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx456 T10 2025; -   ;55.000,00;Operating expense
Thanh toan lai tai khoan tien gui 815008719852 so tien 99813699 VND;99.813.699,00; -   ;Receipt from tenants
REM 9901CI251024000030183 B/O CACTUS WELLHEAD VIETNAM LIMITED COMPANY F/O-2221133456 BWID HD 03 DTLS-REF/202510242010011000076479627001 RENTAL FACTORY Q4 25               INV 160 Bank Charge .00 VAT .00;2.840.415.657,00; -   ;Receipt from tenants
REM 9901SP251024000058258 B/O CT TNHH CONG NGHE THONG MINH RONNIE VN F/O-2221133456 BWID HD 03 DTLS-REF/346A25A14BDP72XV RONNIE THANH TOAN TIEN THUE XUONG HD 157 Bank Charge .00 VAT .00;1.677.608.736,00; -   ;Receipt from tenants
Thanh toan lai thang 10/2025;2.257.209,00; -   ;Other receipts
REM 9901CI251028000044945 B/O CONG TY TNHH CONG NGHE DIEN TU KWONG KEI TAT (VIET NAM) F/O-2221133456 BWID HD 03 DTLS-REF/202510282010011000055579620001 KKT THANH TOAN TIEN THUE NHA XUONG FA6-1 TU 01/10-31/12/2025 Bank Charge .00 VAT .00;2.164.735.461,00; -   ;Receipt from tenants
REM 9901CI251028000044857 B/O CONG TY TNHH CONG NGHE DIEN TU KWONG KEI TAT (VIET NAM) F/O-2221133456 BWID HD 03 DTLS-REF/202510282010011000055479620001 KKT THANH TOAN TIEN THUE NHA XUONG FA6-2 TU 01/10-31/12/2025 Bank Charge .00 VAT .00;1.926.850.686,00; -   ;Receipt from tenants
REM 9901CI251028000045303 B/O CONG TY TNHH CONG NGHE DIEN TU KWONG KEI TAT (VIET NAM) F/O-2221133456 BWID HD 03 DTLS-REF/202510281010011000056079620001 KKT THANH TOAN TIEN NUOC T09.2025 Bank Charge .00 VAT .00;50.813.219,00; -   ;Receipt from tenants
REM 9901CI251028000047773 B/O CT TNHH SAN PHAM KIM LOAI YU XING VIET N F/O-22210001133456 CONG TY TNHH MOT THANH VIEN PHAT TRIEN CONG NGHIEP BW HAI DUONG- HD 03 DTLS-REF/202510282010011000669801203007 CONG TY TNHH SAN PHAM KIM LOAI YUXING TT TIEN THUE XUONG THANG 10.11.12-2025 ZHU CHANG FANG FEI Bank Charge .00 VAT .00;1.383.507.660,00; -   ;Receipt from tenants
REM 9901CI251028000047997 B/O CT TNHH SAN PHAM KIM LOAI YU XING VIET N F/O-22210001133456 CONG TY TNHH MOT THANH VIEN PHAT TRIEN CONG NGHIEP BW HAI DUONG- HD 03 DTLS-REF/202510281010011000670301203003 CONG TY TNHH SAN PHAM KIM LOAI YUXING TT TIEN NUOC BW 2025.10 SHUI FEI Bank Charge .00 VAT .00;5.351.034,00; -   ;Receipt from tenants
Thanh toan lai tai khoan tien gui 812011994043 so tien 204164384 VND;204.164.384,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 814010522556 so tien 276756164 VND;276.756.164,00; -   ;Other receipts
Tat toan tai khoan tien gui so 814010522556 dao han ngay 29/10/2025, tien goc 12000000000 (VND);12.000.000.000,00; -   ;Internal transfer in
Thanh toan lai tai khoan tien gui 814007295493 so tien 119095890 VND;119.095.890,00; -   ;Other receipts
Rut tien gui online tren BIDV iBank;10.500.000.000,00; -   ;Internal transfer in
Rut tien gui online tren BIDV iBank;98.630,00;;Other receipts
Rut tien gui online tren BIDV iBank;18.000.000.000,00; -   ;Internal transfer in
Thu no ku660598; -   ;55.105.759.182,00;Loan repayment
Thu no ku630023; -   ;4.894.240.818,00;Loan interest
TKThe :118665088888, tai Vietinbank. RONNIE THANH TOAN TIEN NUOC THANG 10 HD 167                                                                                                              -CTLNHIDI000013256590539-1/1-CRE-002;5.711.914,00; -   ;Receipt from tenants
REM 9901CI251031000072808 B/O CONG TY TNHH DS VIETNAM F/O-22210001133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG DTLS-REF/202510312010011000036201652001 DS VIETNAM PAYMENT RENT FACTORY 10-12.2025 Bank Charge .00 VAT .00;684.745.896,00; -   ;Receipt from tenants
REM 9901CI251031000072951 B/O CONG TY TNHH DS VIETNAM F/O-22210001133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG DTLS-REF/202510311010011000036101652001 DS VIETNAM PAYMENT WATER FEE FOR FACTORY 09.2025 Bank Charge .00 VAT .00;3.110.353,00; -   ;Receipt from tenants
TKThe :116002983199, tai Vietinbank. Dragon - Payment for water fee Sep.2025                                                                                                                  -CTLNHIDI000013261585915-1/1-CRE-002;30.482.980,00; -   ;Receipt from tenants
REM 9901SP251031000124528 B/O CONG TY TNHH CONG NGHE AN NINH DRAGON F/O-2221133456 CTY TNHH MTV PT CONG NGHIEP BW HAI DUONG DTLS-REF/346A25A1GF2TPPAJ Dragon - Payment for workshop rental fee from Oct. 2025 to Dec. 2025 Bank Charge .00 VAT .00;8.177.966.523,00; -   ;Receipt from tenants
TKThe :111569816666, tai ICBVVNVX. CTY IFS TT CHO CTY TNHH PT CONG NGHIEP BW BAC TIEN PHONG  202510031539000511477                                                                                                                                                                                                      -B2B0200970415101710471120253Lbs931261;8.407.137.396,00; -   ;Receipt from tenants
Thanh toan lai tai khoan tien gui 811004151855 so tien 66542466 VND;66.542.466,00; -   ;Receipt from tenants
REM 9901SP251020000082226 B/O CONG TY TNHH BAIKE VEHICLE VIET NAM F/O-2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON DTLS-REF/304A25A0XQ491BVV CONG TY TNHH BAIKE VEHICLE VIET NAM MS 5702151048 thanh toan chi phi thue xuong quy 4 tu ngay 1.10 den 31.12.2025 HD37.HD36. CON-1515 Bank Charge .00 VAT .00;9.001.527.582,00; -   ;Receipt from tenants
REF222A25A0XRVE5PV7 B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 1013836868 CTCP KHU CONG NGHIEP BAC TIEN PHONG NHH01203006 BTP_BTP IZ_Payment for EMF in Aug, Sep 25 Inv 815,922, Water consumption and wastewater treatment in Sep 25 Inv 1004, 1005, Power consumption in Aug 25 and Power management in Sep 25 Inv 952, 968; -   ;399.065.434,00;Operating expense
REF222A25A0XRVEHCWL B/O 2220757668 CTY TNHH PT CONG NGHIEP BW BAC TIEN PHON F/O 0071005396210 CONG TY BAO HIEM PVI PHIA NAM NHH79203001 BTP_PVI_1st Payment 50 percentage for PARBIPL Master Insurance Policy from 01102025 to 30092026 Inv 00000285; -   ;187.865.273,00;Operating expense
PHI QUAN LY TAI KHOAN 222xxx668 T10 2025; -   ;55.000,00;Operating expense
TKThe :116002959732, tai ICBVVNVX. rent and management fee                                                                                                                                                                                                                                                              -B2B020097041510221100262025UuZI554184;726.363.419,00; -   ;Receipt from tenants
TKThe :110631966688, tai ICBVVNVX. CONG TY TNHH BAIKE VEHICLE VIET NAM MS 5702151048 thanh toan chi phi quan ly dien tieu thu tu ngay 20.8 den 20.9.2025 HD33. CON-1523                                                                                                                                                 -B2B020097041510231422112025r7cm560400;4.077.600,00; -   ;Receipt from tenants
Thanh toan lai tai khoan tien gui 816010442989 so tien 56712329 VND;56.712.329,00; -   ;Other receipts
Rut tien gui online tren BIDV iBank;5.000.000.000,00; -   ;Internal transfer in
THU GOC KU 402220695183; -   ;23.500.000.000,00;Loan repayment
Thanh toan lai thang 10/2025;2.370.574,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 816012016730 so tien 34027397 VND;34.027.397,00; -   ;Other receipts
PHI QUAN LY TAI KHOAN 150xxx050 T10 2025; -   ;55.000,00;Operating expense
Thanh toan lai thang 10/2025;878.218,00; -   ;Other receipts
Thanh toan lai tai khoan tien gui 813011516527 so tien 21205479 VND;21.205.479,00; -   ;Other receipts
TAT TOAN HDTG;6.000.000.000,00; -   ;Internal transfer in
REF150A25A19C6QGV3K B/O 1500871050 CTY TNHH PT CONG NGHIEP BW NAM DINH VU F/O 116632406789 CONG TY TNHH PHAT TRIEN CONG NGHIEP BW NAM DINH VU NHH01201001 NDV-INTERNAL TRANSFER FROM BIDV TO VIETINBANK; -   ;11.273.036.734,00;Internal transfer out
REF150A25A19C6QGV3K B/O 1500871050 CTY TNHH PT CONG NGHIEP BW NAM DINH VU F/O 116632406789 CONG TY TNHH PHAT TRIEN CONG NGHIEP BW NAM DINH VU NHH01201001 NDV-INTERNAL TRANSFER FROM BIDV TO VIETINBANK; -   ;1.100.000,00;Operating expense
Tat toan tai khoan tien gui so 814010522556 dao han ngay 29/10/2025, tien goc 12000000000 (VND); -   ;12.000.000.000,00;Internal transfer out
TAT TOAN HDTG; -   ;6.000.000.000,00;Internal transfer out
Rut tien gui online tren BIDV iBank; -   ;10.500.000.000,00;Internal transfer out
Rut tien gui online tren BIDV iBank;;18.000.000.000,00;Internal transfer out
Rut tien gui online tren BIDV iBank; -   ;5.000.000.000,00;Internal transfer out
So GD: 285A25A0R4WW2M0S TPT_KEB HANA_DEPOSIT FOR NEXT PRINCIPAL AND INTERNET PAYMENT ON 27TH OCT 2025; -   ;5.057.693.635,00;Loan repayment
So GD: 285A25A0R52XMX30 TPT_KEB HANA_DEPOSIT FOR NEXT PRINCIPAL AND INTERNET PAYMENT ON 27TH OCT 2025; -   ;8.319.011.266,00;Loan repayment
So GD: 285A25A0ZGUW3SRL TPT_IMPC- FM service fee in Sep 25_Shopee and Jnt; -   ;17.665.449,00;Operating expense
So GD: 285A25A0ZGUXG35U TPT_PAR/BI/PL Master Insurance Policy - Period 2025/2026_South projects_1st payment; -   ;417.564.687,00;Operating expense
So GD: 285A25A0ZGUZ0G96 TPT_PhuongNam_Quarterly service of measuring and analyzing wastewater sample fee in Q3.25; -   ;6.220.800,00;Operating expense
So GD: 285A25A0ZGV077U1 TPT_IMPC_Defect rectification from May to Jul.25; -   ;50.238.576,00;Operating expense
TTHD Tien dien Ma KH-PE09000203451 Ma HD-Ky 251120TD-T10.2025/0; -   ;366.951.028,00;Operating expense
So GD goc: 10000050 SPX WH_Utilities 50SOCMC 21/08-20/09/2025 1C25TBA-127 1C25TBA-128;8.819.800,00; -   ;Receipt from tenants
So GD goc: 10001433 CT THUAN PHONG TT CP NUOC 20250820 0920 INV 129 130 CT tu 0531002562100 CTTNHH MTV CHUYEN PHAT NHANH THUAN PHONG  toi 110610727979 CT TNHH PT CONG NGHIEP BW TAN PHU TRUNG NH Cong thuong;90.714.923,00; -   ;Receipt from tenants
0285BG2400110-Recovery Charge-Phí phát hành; -   ;823.137.521,00;Operating expense
0285BG2400113-Recovery Charge-Phí phát hành; -   ;1.271.056.442,00;Operating expense
So GD: 285A25A18Y7ZPJUL TPT_EUC_WTS maintenance from Jul to Sep 2025; -   ;46.170.000,00;Operating expense
So GD: 285A25A18Y80YD8D TPT_Hop Vien_3rd payment for contract BWTPT.VD.25002_Floor waterproofing; -   ;40.543.241,00;Operating expense
2520102TSA-0174061/285N25A18Y9TYYAP/NOP NSNN; -   ;22.993.454,00;Operating expense
Tra lai tai khoan DDA;3.611.619,00; -   ;Other receipts
Tra lai tai khoan DDA;1.089,00; -   ;Other receipts
Tra lai tai khoan DDA;1.376,00; -   ;Other receipts
So GD goc: 3155199775Y25 VIETINBANK HOHN INV 1C25TBA 0000012 4;6.392.488.356,00; -   ;Receipt from tenants
Tra lai TK tien gui 215000449171;28.273.973,00; -   ;Other receipts
Tra lai TK tien gui 219000465302;17.671.233,00; -   ;Other receipts
So GD: 285A25A0ZGUUQLJJ TPT_IMPC - FM service fee in Sep 25_GHTK; -   ;25.221.821,00;Operating expense
TPT WITHDRAWAL OF THE TERM DEPOSIT 215000449171;43.835,00; -   ;Other receipts
TPT WITHDRAWAL OF THE TERM DEPOSIT 215000449171;8.000.000.000,00; -   ;Internal transfer in
TTHD Tien dien Ma KH-PE09000208673 Ma HD-Ky 251120TD-T10.2025/0; -   ;312.268.608,00;Operating expense
So GD goc: 10001454 tt1423168 ghtk thanh toan chi phi van hanh tram xu ly nuoc thai thang 10.2025 kho tan phu trung;9.234.500,00; -   ;Receipt from tenants
So GD: 285A25A18Y7YG071 TPT_EUC_WTS maintenance from Jul to Sep.25_GHTK; -   ;42.768.000,00;Operating expense
Tra lai tai khoan DDA;6.221.266,00; -   ;Other receipts
So GD goc: 670A25A0SFJREXWY SILK TT 391.392;9.520.280,00; -   ;Receipt from tenants
Tra lai TK tien gui 214000454333;270.958.904,00; -   ;Other receipts
So GD: 902A25A0XJBG2F31 INTERNAL TRANSFER/CHUYEN TIEN NOI BO; -   ;25.000.000.000,00;Internal transfer out
So GD goc: 10002160 INVOICE IN SEP.2025;8.933.478,00; -   ;Receipt from tenants
TAT TOAN HDTG 11530;273.973,00; -   ;Other receipts
TAT TOAN HDTG 11530;25.000.000.000,00; -   ;Internal transfer in
So GD: 902A25A10T9YB8XD INTERNAL TRANSFER FROM VTB CN1 TO VCB HCM/CHUYEN TIEN NOI BO QUA VCB HCM; -   ;3.400.000.000,00;Internal transfer out
So GD goc: 670A25A1DUNANYGL MASPRO VN TT TIEN THUE NHA XUONG T10 DEN T12.2025 HD409 CHO CN LONG BINH;1.737.902.187,00; -   ;Receipt from tenants
So GD goc: 10000183 THANH TOAN THEO HD SO 410, 425;3.731.053.980,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;792.268,00; -   ;Other receipts
CT DEN:285T25A0RF0D3DJY CONG TY TNHH DIEN TU SHDC chuyen tien CONG TY TNHH MTV PHAT TRIEN CONG NGHIEPBW HAI DUONG THANH TOAN TIEN THUE NHA XUONG QUY IV/2025, HD 285;572.223.367,00; -   ;Receipt from tenants
THANH TOAN TIEN  THUE XUONG FA1;5.119.486.630,00; -   ;Receipt from tenants
So GD goc: 10000019 ETRON PAY FOR INV 276;240.330,00; -   ;Receipt from tenants
So GD goc: 10000183 Cong ty A TECH TT tien phi quan ly nuoc HD279;6.870.117,00; -   ;Receipt from tenants
So GD goc: 10000187 Cong ty A TECH TT tien phi quan ly dien HD 278;11.756.668,00; -   ;Receipt from tenants
So GD goc: 10000182 Cong ty A TECH TT tien thue nha xuong quy 4 2025;2.044.158.612,00; -   ;Receipt from tenants
So GD goc: 10009791 TT TIEN THUE NHA XUONG A1 1 TU01/10/2025 DEN 31/12/2025 THEO HOADON SO 00000284;584.836.695,00; -   ;Receipt from tenants
So GD goc: 460A25A0SXEUK78V CONG TY TNHH AUDEN TECHNO VIET NAM THANH TOAN TIEN;792.723.648,00; -   ;Receipt from tenants
So GD goc: 460A25A0SXEUH257 CONG TY TNHH AUDEN TECHNO VIET NAM THANH TOAN TIEN;2.909.914,00; -   ;Receipt from tenants
So GD: 285A25A0XCUJ18F9 BHD_EVERGREEN_Refund a part of the Security Deposit and Rent of September under Termination Minutes BWHD/PLC/23010/TTCD date 31 Aug 2025; -   ;6.740.137.996,00;Operating expense
So GD: 285A25A0XQZ848F9 BHD_PVI_1st Payment 50% for PAR/BI/PL Master Insurance Policy from 01/10/2025 to 30/09/2026 Inv 00000276; -   ;254.004.142,00;Operating expense
So GD goc: 10010454 TT tien nuoc sach, xu ly nuoc thai  quan ly dien tieu dung tu 20.8.2025-31.8.2025 theo hoa don so : 271 - CTY BW;4.681.220,00; -   ;Receipt from tenants
So GD: 285A25A0ZGV9Z6M7 BHD_TRINH THI TRANG_Reimbursement for Meeting expense Inv 00005084; -   ;1.080.000,00;Operating expense
CT DEN:285T25A12Q2QEJZZ HO YUAN chuyen tien thue nha xuong  quy  4 va phi quan ly 04 va 07 2025;322.634.023,00; -   ;Receipt from tenants
So GD goc: 10005948 cong ty tnhh sunlu international viet nam thanh toan HD SO 00000296 BW HAI DUONG;1.500.643.161,00; -   ;Receipt from tenants
Tra lai TK tien gui 211000455526;90.739.726,00; -   ;Other receipts
Tra goc TK tien gui 211000455526;8.000.000.000,00; -   ;Internal transfer in
Tra lai TK tien gui 215000476783;28.273.973,00; -   ;Other receipts
Tra goc TK tien gui 215000476783;4.000.000.000,00; -   ;Internal transfer in
Tra lai TK tien gui 218000479423;46.652.055,00; -   ;Other receipts
Tra goc TK tien gui 218000479423;9.000.000.000,00; -   ;Internal transfer in
TRA NO GOC VAY DEN HAN; -   ;673.272.669,00;Loan repayment
Tra no TK vay 801003734290,so tien 10080835103 VND; -   ;10.080.835.103,00;Loan repayment
Tra no TK vay 801004914275,so tien 3864067366 VND; -   ;3.864.067.366,00;Loan repayment
Tra no TK vay 803005298893,so tien 1198386524 VND; -   ;1.198.386.524,00;Loan repayment
Tra no TK vay 800006238907,so tien 61700517 VND; -   ;61.700.517,00;Loan repayment
So GD: 285A25A1AZF4K1S6 BHD_IMPC_Payment for FM Service fee in SEP 25 Inv 00000509; -   ;159.090.779,00;Operating expense
So GD goc: 10000553 KKT THANH TOAN TIEN THUE NHA XUONG C2 TU 01/10-31/12/2025;798.279.036,00; -   ;Receipt from tenants
Tra lai TK tien gui 210000471950;31.808.219,00; -   ;Other receipts
Tra goc TK tien gui 210000471950;9.000.000.000,00; -   ;Internal transfer in
THANH TOAN TIEN NUOC THANG 9 NHA XUONG FA;28.687.959,00; -   ;Receipt from tenants
CT DEN:285T25A1E9ZWLZF4 CT TNHH CMA CONG NGHIEP VIET NAM chuyen tien CONG TY TNHH MTV PHAT TRIEN CONG NGHIEPBW HAI DUONG TK: 111007158888 tai Ngan hang TMCP Cong Thuong Viet Nam VietinBank CMA TT CHI PHI NUOC SACH THANG 9.2025;2.277.394,00; -   ;Receipt from tenants
So GD: 285A25A1FJ9N1NTA BHD_DANG THI KIM THU_Reimbursement for Office utilities Inv 00000548, 00005226; -   ;1.447.862,00;Operating expense
So GD goc: 10004817 .;4.019.744,00; -   ;Receipt from tenants
Tra lai tai khoan DDA;6.969.078,00; -   ;Other receipts
GUI HDTG SO 640/2025/34160; -   ;20.000.000.000,00;Internal transfer out
GUI HDTG SO 640/2025/34161; -   ;20.000.000.000,00;Internal transfer out
So GD goc: 652A25A0QTMUQMNB Berjayapak Payment fee Factory rental fr 01102025 to 31122025 VAT No: 00000063 date 09102025 to BW BAU BANG BB01 L2;319.017.892,00; -   ;Receipt from tenants
So GD goc: 652A25A0QTMUNCWA Berjayapak thanh toan phi NX1 - Payment fee Factory rental fr 01102025 to 31122025 VAT No: 00000063 date 09102025 to BW BAU BANG BB01 L1;500.000.000,00; -   ;Receipt from tenants
CT DEN:640T25A0QZQ6ZJKL CONG TY TNHH NHUA ASUS VIET NAM tt phi thue xuong quy 3 ( lan 2)  hd 26 cty TNHH PHAT TRIEN CN BW BAU BANG BB01;275.784.296,00; -   ;Receipt from tenants
CT DEN:640T25A0QZQ88GX5 CONG TY TNHH NHUA ASUS VIET NAM tt phi thue xuong quy 3 ( lan 1)  hd 26 cty TNHH PHAT TRIEN CN BW BAU BANG BB01;400.000.000,00; -   ;Receipt from tenants
So GD goc: 10000488 TT VNMN2PAJ8 N TT HD: 24 THUE KHO BW BAU BANGA17,A18;2.090.065.585,00; -   ;Receipt from tenants
So GD goc: 10007273 IBBIZ6046936874.IBPS.CONG TY TNHH FLOWCOM VIET NAM chuyen tien Thue nha xuong quy 4.25;726.346.368,00; -   ;Receipt from tenants
CONG TY C VA C MST 3703209378 TT PHI THUE NHA XUONG QUY 4 NAM 2025 CHO BW;2.072.580.048,00; -   ;Receipt from tenants
TT PHI THUE XUONG A-18A16 TU NGAY 01.10.2025 DEN NGAY 31.12.2025 - HD SO 32;918.156.818,00; -   ;Receipt from tenants
So GD: 640A25A0SW0UHRSN BB01_KMG_WWTP renovation_2nd and 3rd payment of BWBB1.VD.25016_Inv no.72, 73; -   ;3.616.214.479,00;Operating expense
CT DEN:640T25A0SWRTNX4B MBVCB.11344898369.448230.Ying Bo Booking Fee.CT tu 1057933132 WEN FENGPING toi 110002915294 CT TNHH PHAT TRIEN CN BW BAU BANG BB01 tai VIETINBANK;341.228.736,00; -   ;Receipt from tenants
So GD goc: 10001406 TT tien phi thue nha xuong T10.2025 hoa don so 65;685.417.824,00; -   ;Receipt from tenants
TTHD Tien dien Ma KH-PB04090034081 Ma HD-Ky 251110TD-T10.2025/0; -   ;9.260,00;Operating expense
So GD: 640A25A0XQZC7PFR BB1-THP-Repairing leaking FF pipe at 17B3_Inv no.85; -   ;24.622.920,00;Operating expense
So GD: 640A25A0XQZEUDAC BB01_PHUC HUNG KIM_Legal service_IRC BB01 application_Inv no.111; -   ;144.720.000,00;Operating expense
So GD: 640A25A0XQZHJK1A BB01_BECAMEX_EMF in 10.25_Inv no.12102; -   ;507.714.401,00;Operating expense
So GD: 640A25A0XQZL2PN9 BB01_IMPC_FM service fee in Sep 25_Inv no.00000464; -   ;282.236.459,00;Operating expense
